Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2020-0038,2,2020-08-30,2020,Agosto,30,Domingo,Invierno,04:00:00,4,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,LAS HERAS GENERAL AV.,True,Comuna 14,Palermo,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,64,61+
2020-0039,1,2020-09-01,2020,Septiembre,1,Martes,Primavera,19:17:42,19,MURGUIONDO 2700,CALLE,MURGUIONDO,False,Comuna 9,Mataderos,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,44,41-60
2020-0040,1,2020-09-12,2020,Septiembre,12,Sábado,Primavera,03:30:00,3,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,"CASTILLO, RAMON S., PRES. AV.",True,Comuna 2,Recoleta,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,61,61+
2020-0041,1,2020-09-28,2020,Septiembre,28,Lunes,Primavera,01:45:00,1,"CURAPALIGUE Y PERON, EVA AV.",AVENIDA,CURAPALIGUE,True,Comuna 7,Parque Chacabuco,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34,26-40
2020-0042,1,2020-09-29,2020,Septiembre,29,Martes,Primavera,17:10:00,17,"DIAZ, ANA Y SOLDADO DE LA FRONTERA AV.",AVENIDA,"DIAZ, ANA",True,Comuna 8,Villa Lugano,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,53,41-60
2020-0043,1,2020-09-30,2020,Septiembre,30,Miércoles,Primavera,17:20:00,17,"ALEM, LEANDRO N. AV. Y PARAGUAY",AVENIDA,"ALEM, LEANDRO N. AV.",True,Comuna 1,Retiro,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,64,61+
2020-0044,1,2020-10-05,2020,Octubre,5,Lunes,Primavera,00:20:00,0,LA PLATA AV. E INDEPENDENCIA,AVENIDA,LA PLATA AV.,True,Comuna 6,Caballito,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,43,41-60
2020-0045,1,2020-10-19,2020,Octubre,19,Lunes,Primavera,03:00:00,3,"PAZ, GRAL. AV. Y 27 DE FEBRERO AV.",GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,50,41-60
2020-0046,1,2020-10-27,2020,Octubre,27,Martes,Primavera,21:00:00,21,"NAZCA AV. Y CARRANZA, ADOLFO P.",AVENIDA,NAZCA AV.,True,Comuna 11,Villa Del Parque,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,41,41-60
2020-0047,1,2020-10-27,2020,Octubre,27,Martes,Primavera,14:00:00,14,AUTOPISTA CAMPORA ALTURA LACARRA AV.,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,True,Comuna 9,Flores,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,15,0-18
2020-0048,1,2020-10-29,2020,Octubre,29,Jueves,Primavera,20:20:00,20,DORREGO AV. 614,AVENIDA,DORREGO AV.,False,Comuna 15,Chacarita,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,41,41-60
2020-0049,1,2020-10-30,2020,Octubre,30,Viernes,Primavera,20:00:00,20,"DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.",AVENIDA,DEL LIBERTADOR AV.,True,Comuna 1,Retiro,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,36,26-40
2020-0050,1,2020-11-01,2020,Noviembre,1,Domingo,Primavera,22:00:00,22,SANTA FE AV. Y GODOY CRUZ,AVENIDA,SANTA FE AV.,True,Comuna 14,Palermo,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,28,26-40
2020-0051,1,2020-11-05,2020,Noviembre,5,Jueves,Primavera,00:40:00,0,AVELLANEDA AV. Y MERCEDES,AVENIDA,AVELLANEDA AV.,True,Comuna 10,Floresta,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,49,41-60
2020-0052,1,2020-11-07,2020,Noviembre,7,Sábado,Primavera,06:50:00,6,TUCUMAN Y PUEYRREDON AV.,AVENIDA,TUCUMAN,True,Comuna 3,Balvanera,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,MASCULINO,44,41-60
2020-0053,1,2020-11-09,2020,Noviembre,9,Lunes,Primavera,03:30:00,3,"ALCORTA, AMANCIO AV. Y EINSTEIN, ALBERTO",AVENIDA,"ALCORTA, AMANCIO AV.",True,Comuna 4,Nueva Pompeya,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,27,26-40
2020-0054,1,2020-11-19,2020,Noviembre,19,Jueves,Primavera,09:00:00,9,INCLAN Y ALBERTI,CALLE,INCLAN,True,Comuna 4,Parque Patricios,BICICLETA-AUTO,BICICLETA,AUTO,CICLISTA,MASCULINO,59,41-60
2020-0055,1,2020-11-19,2020,Noviembre,19,Jueves,Primavera,12:30:00,12,OLAZABAL AV. 5437,AVENIDA,OLAZABAL AV.,False,Comuna 12,Villa Urquiza,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,91,61+
2020-0056,1,2020-11-21,2020,Noviembre,21,Sábado,Primavera,13:00:00,13,"PAZ, GRAL. AV. Y DOCTOR RAMON CARRILLO",GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 8,Villa Riachuelo,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,FEMENINO,34,26-40
2020-0057,1,2020-11-23,2020,Noviembre,23,Lunes,Primavera,07:45:00,7,"NAZCA AV. Y VIALE, LUIS",AVENIDA,NAZCA AV.,True,Comuna 11,Villa Santa Rita,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,84,61+
