Hechos_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Edad
2019-0026,3,2,3,1,4
2019-0027,6,7,4,1,37
2019-0028,3,2,3,2,52
2019-0029,1,4,1,1,27
2019-0030,1,5,1,1,25
2019-0031,6,5,4,1,20
2019-0032,3,1,3,2,83
2019-0033,1,0,1,1,25
2019-0034,1,4,1,1,8
2019-0035,3,9,3,2,75
2019-0036,1,1,1,1,34
2019-0037,1,1,1,1,17
2019-0038,3,6,3,2,42
2019-0039,1,1,1,1,28
2019-0040,1,0,1,1,44
2019-0041,2,7,2,2,78
2019-0042,3,2,3,1,39
2019-0043,6,5,4,2,22
2019-0044,3,6,3,2,77
2019-0045,1,5,1,1,33
2019-0046,1,1,2,2,26
2019-0047,3,5,3,1,76
2019-0048,1,5,1,1,32
2019-0049,3,5,3,2,72
2019-0050,1,5,1,1,21
2019-0051,1,1,1,1,41
2019-0053,2,1,2,1,49
2019-0054,1,4,1,1,21
2019-0055,1,2,1,1,47
2019-0056,3,1,3,2,75
2019-0057,3,1,3,2,63
2019-0058,1,2,1,1,39
2019-0059,1,2,1,1,30
2019-0060,3,1,3,2,78
2019-0061,3,2,3,2,58
2019-0062,3,2,3,2,60
2019-0063,1,2,2,1,74
2019-0064,1,1,1,1,20
2019-0065,3,2,3,2,55
2019-0066,3,1,3,1,40
2019-0067,1,5,1,1,35
2019-0068,1,6,1,1,53
2019-0069,1,1,1,1,43
2019-0070,1,9,1,1,25
2019-0071,3,5,3,1,40
2019-0072,2,1,1,1,22
2019-0073,2,4,1,1,29
2019-0074,1,5,1,1,35
2019-0075,1,2,1,1,31
2019-0076,1,5,1,2,29
2019-0077,3,1,3,2,28
2019-0078,3,5,3,2,72
2019-0079,1,2,1,1,57
2019-0080,3,6,3,1,76
2019-0081,3,2,3,1,67
2019-0082,6,5,4,1,47
2019-0083,2,1,1,1,73
2019-0084,6,5,4,2,40
2019-0085,6,10,4,1,20
2019-0086,1,2,1,1,29
2019-0087,1,6,1,1,41
2019-0088,3,2,3,1,27
2019-0089,3,5,3,2,92
2019-0090,3,6,3,1,67
2019-0091,3,2,3,1,35
2019-0092,3,2,3,1,37
2019-0093,6,8,4,1,16
2019-0094,1,8,2,2,19
2019-0095,1,5,1,1,5
2019-0096,3,2,3,1,73
2019-0097,1,7,2,2,23
2019-0098,7,2,2,2,61
2019-0100,1,1,1,1,38
2019-0101,1,6,1,1,25
2019-0102,1,1,1,1,18
2019-0103,1,6,1,1,24
2019-0104,1,1,2,2,23
2019-0105,3,1,3,2,82
2020-0001,3,1,3,2,87
2020-0002,1,4,1,1,36
2020-0003,3,1,3,1,44
2020-0004,3,2,3,1,82
2020-0005,1,2,1,1,25
2020-0006,1,5,1,1,23
2020-0007,3,6,3,1,52
2020-0008,1,5,1,1,49
2020-0009,3,1,3,1,48
2020-0010,1,4,1,1,61
2020-0011,1,5,1,1,31
2020-0012,3,6,3,2,66
2020-0013,3,6,3,2,58
2020-0014,1,2,1,1,15
2020-0015,1,2,1,1,29
2020-0016,3,2,3,1,68
2020-0017,3,1,3,1,10
2020-0018,1,4,1,1,31
2020-0019,3,1,3,2,80
2020-0020,3,6,3,2,74
2020-0021,3,1,3,2,87
2020-0022,2,5,2,1,44
2020-0023,2,5,1,1,44
2020-0024,2,1,1,1,53
2020-0025,3,1,3,1,54
2020-0026,1,4,1,1,28
2020-0027,3,5,3,1,76
2020-0028,3,2,3,1,91
2020-0029,3,2,3,1,80
2020-0030,1,7,1,1,40
2020-0031,1,5,1,1,29
2020-0032,1,1,1,1,21
2020-0033,2,4,1,1,32
2020-0034,3,1,3,2,3
2020-0035,1,2,1,1,40
2020-0036,3,6,3,1,72
2020-0037,3,1,3,1,38
2020-0038,2,1,1,1,46
2020-0038,2,1,1,1,64
2020-0039,3,5,3,1,44
2020-0040,2,4,1,1,61
2020-0041,1,2,1,1,34
2020-0042,3,2,3,2,53
2020-0043,3,2,3,1,64
2020-0044,2,1,1,1,43
2020-0045,2,5,1,1,50
2020-0046,1,6,1,1,41
2020-0047,3,5,3,1,15
2020-0048,1,4,1,1,41
2020-0049,3,1,3,1,36
2020-0050,3,6,3,2,28
2020-0051,1,1,1,1,49
2020-0052,6,5,4,1,44
2020-0053,2,1,2,1,27
